file	tier	tests	assertions	lines	story	stubs	touches	hostile	flags	ported
Drawer/composables/useSwipeDismiss.test.ts	T3-payoff	10	34	389	none	pointerCapture	pointerCapture,coords	-	pointerEvents	yes
Drawer/utils.test.ts	T0-node	12	25	177	exists	-	-	-	-	node
DropdownMenu/DropdownMenu.test.ts	T3-payoff	9	9	164	mounts	ResizeObserver	ResizeObserver	-	axe,keyboardEvents	yes
DropdownMenu/DropdownMenuFilter.test.ts	T3-payoff	16	31	272	mounts	ResizeObserver	ResizeObserver,focusApi	-	keyboardEvents	yes
Editable/Editable.test.ts	T2-mechanical	17	27	175	mounts	-	-	-	axe,keyboardEvents	yes
FocusGuards/FocusGuards.test.ts	T2-mechanical	5	9	67	none	-	-	-	-	yes
FocusScope/FocusScope.test.ts	T3-payoff	10	12	297	exists	pointerCapture,scrollIntoView	pointerCapture,scrollIntoView,focusApi	-	keyboardEvents	yes
HoverCard/HoverCard.test.ts	T3-payoff	6	8	90	mounts	ResizeObserver	ResizeObserver	-	axe,pointerEvents	yes
Label/Label.test.ts	T2-mechanical	7	7	79	none	-	focusApi	-	axe	yes
Listbox/Listbox.test.ts	T3-payoff	40	83	616	mounts	ResizeObserver,pointerCapture,scrollIntoView,getBoundingClientRect	ResizeObserver,pointerCapture,scrollIntoView,rects,rAF,focusApi	-	axe,keyboardEvents	yes
Menu/Menu.test.ts	T3-payoff	6	7	95	mounts	ResizeObserver	ResizeObserver,focusApi	-	axe,pointerEvents	yes
Menubar/Menubar.test.ts	T3-payoff	6	6	61	mounts	ResizeObserver	ResizeObserver	-	axe,pointerEvents	yes
MonthPicker/MonthPicker.test.ts	T2-mechanical	25	74	420	mounts	-	focusApi	-	axe	yes
MonthRangePicker/MonthRangePicker.test.ts	T2-mechanical	23	87	481	mounts	-	focusApi	-	axe	yes
NavigationMenu/NavigationMenu.test.ts	T4-hostile	13	20	278	mounts	-	focusApi	fakeTimers,moduleMock	axe,pointerEvents	yes
NumberField/NumberField.test.ts	T3-payoff	41	89	522	mounts	getComputedStyle	computedStyle,focusApi	-	axe,keyboardEvents	yes
Pagination/Pagination.test.ts	T2-mechanical	28	46	262	mounts	-	-	-	axe	yes
PinInput/PinInput.test.ts	T3-payoff	38	79	476	mounts	getComputedStyle	computedStyle,focusApi	-	axe,keyboardEvents	yes
Popover/Popover.test.ts	T3-payoff	2	2	43	mounts	ResizeObserver	ResizeObserver	-	axe	yes
Popper/Popper.test.ts	T4-hostile	22	33	176	none	ResizeObserver	ResizeObserver	snapshot	-	yes
Presence/Presence.test.ts	T2-mechanical	10	14	185	exists	-	computedStyle	-	spyOn	yes
Primitive/Primitive.test.ts	T2-mechanical	15	24	270	none	-	-	-	-	yes
Progress/Progress.test.ts	T2-mechanical	3	3	33	mounts	-	-	-	axe	yes
RadioGroup/RadioGroup.test.ts	T2-mechanical	17	24	155	mounts	-	focusApi	-	axe,keyboardEvents	yes
RangeCalendar/RangeCalendar.test.ts	T2-mechanical	45	216	1071	mounts	-	focusApi	-	axe,keyboardEvents	yes
Rating/Rating.test.ts	T2-mechanical	11	20	115	mounts	-	focusApi	-	axe,keyboardEvents	yes
RovingFocus/RovingFocus.test.ts	T2-mechanical	4	15	132	mounts	-	focusApi	-	keyboardEvents	yes
ScrollArea/ScrollArea.test.ts	T4-hostile	9	15	171	mounts	ResizeObserver	ResizeObserver,rects	snapshot	axe,pointerEvents	yes
Select/Select.test.ts	T4-hostile	29	38	415	mounts	ResizeObserver,pointerCapture	ResizeObserver,pointerCapture,focusApi	fakeTimers	axe,spyOn,pointerEvents	yes
Separator/Separator.test.ts	T2-mechanical	1	2	17	none	-	-	-	axe	yes
Slider/Slider.test.ts	T3-payoff	39	69	437	mounts	ResizeObserver,pointerCapture,scrollIntoView	ResizeObserver,pointerCapture,scrollIntoView,coords	-	axe,pointerEvents,keyboardEvents	yes
Splitter/Splitter.test.ts	T3-payoff	3	7	178	mounts	ResizeObserver	ResizeObserver	-	axe	yes
Splitter/utils/callPanelCallbacks.test.ts	T0-node	17	46	414	none	-	-	-	-	node
Splitter/utils/units.test.ts	T0-node	12	33	218	none	-	-	-	-	node
Splitter/utils/validation.test.ts	T0-node	2	3	22	none	-	-	-	spyOn	node
Stepper/Stepper.test.ts	T2-mechanical	10	28	200	mounts	-	-	-	axe	yes
Switch/Switch.test.ts	T2-mechanical	9	8	98	none	-	-	-	axe,keyboardEvents	yes
Tabs/Tabs.test.ts	T2-mechanical	7	16	143	mounts	-	focusApi	-	axe,spyOn,keyboardEvents,ssr	yes
TagsInput/TagsInput.test.ts	T3-payoff	28	54	391	mounts	getComputedStyle	computedStyle,focusApi	-	axe,keyboardEvents	yes
Teleport/Teleport.test.ts	T2-mechanical	5	11	142	none	-	-	-	teleport	yes
TimeField/TimeField.test.ts	T2-mechanical	72	154	1427	mounts	-	-	-	axe	yes
TimeRangeField/TimeRangeField.test.ts	T2-mechanical	22	49	344	mounts	-	-	-	axe	yes
Toast/Toast.test.ts	T2-mechanical	7	14	119	mounts	-	rAF,focusApi	-	axe,spyOn	yes
Toggle/Toggle.test.ts	T2-mechanical	11	12	97	none	-	-	-	axe	yes
ToggleGroup/ToggleGroup.test.ts	T2-mechanical	15	29	187	mounts	-	focusApi	-	axe,keyboardEvents	yes
Toolbar/Toolbar.test.ts	T2-mechanical	4	4	97	mounts	-	-	-	axe	yes
Tooltip/Tooltip.test.ts	T3-payoff	6	11	120	none	ResizeObserver	ResizeObserver,focusApi	-	axe,teleport	yes
Tree/Tree.test.ts	T4-hostile	25	51	409	mounts	-	focusApi	snapshot	axe,keyboardEvents	yes
Viewport/Viewport.test.ts	T2-mechanical	5	6	52	none	-	-	-	-	yes
VisuallyHidden/VisuallyHidden.test.ts	T2-mechanical	9	10	88	none	-	-	-	-	yes
YearPicker/YearPicker.test.ts	T2-mechanical	26	77	425	mounts	-	focusApi	-	axe	yes
YearRangePicker/YearRangePicker.test.ts	T2-mechanical	21	73	414	mounts	-	focusApi	-	axe	yes
date/calendar.test.ts	T0-node	4	5	59	none	-	-	-	-	node
index.test.ts	T0-node	1	1	11	none	-	-	-	-	node
shared/color/gradient.test.ts	T0-node	45	63	332	none	-	-	-	-	node
shared/color/utils.test.ts	T0-node	42	74	362	none	-	-	-	-	node
shared/component/Arrow.test.ts	T1-pure	1	1	10	none	-	-	-	axe	yes
shared/getActiveElement.test.ts	T1-pure	2	2	49	none	-	focusApi	-	-	yes
shared/useArrowNavigation.test.ts	T1-pure	12	13	147	none	-	-	-	keyboardEvents	yes
shared/useBodyScrollLock.test.ts	T4-hostile	7	17	126	none	-	rects	moduleMock	-	yes
shared/useComposing.test.ts	T1-pure	8	18	133	none	-	-	-	-	yes
shared/useForwardExpose.test.ts	T1-pure	10	18	326	none	-	-	-	-	yes
shared/useForwardProps.test.ts	T1-pure	7	10	81	none	-	-	-	-	yes
shared/useForwardScopeId.test.ts	T1-pure	4	7	71	none	-	-	-	-	yes
shared/useGraceArea.test.ts	T4-hostile	6	13	181	none	getBoundingClientRect	rects,coords	fakeTimers	pointerEvents	yes
shared/useIsUsingKeyboard.test.ts	T1-pure	4	6	46	none	-	-	-	pointerEvents,keyboardEvents	yes
shared/useNonce.test.ts	T0-node	2	2	26	none	-	-	moduleMock	-	node
shared/useSelectionBehavior.test.ts	T1-pure	15	22	201	none	-	-	-	-	yes
shared/useSingleOrMultipleValue.test.ts	T0-node	7	13	108	none	-	-	-	-	node
shared/useSize.test.ts	T3-payoff	3	9	91	none	ResizeObserver	ResizeObserver,rects	-	-	yes
shared/useTypeahead.test.ts	T4-hostile	17	30	193	none	-	focusApi	fakeTimers	-	yes
